name,rating,description,adress,web_site,good_1,good_2,good_3,bad_1,bad_2,bad_3
US-Bowl Berlin,4.1,Bowling alley,"Roelckestraße 73, 13088 Berlin, Germany",us-bowl.de,"We loved the place, it's kids friendly, and the menu is nice too!
Just book in advance.
We had fun and it's our new favorite place.
They also have a Sunday brunch.",Good quality fun and not so expensive. Has table service so you can munch on German style foods and drink beers while throwing balls. Not crazy busy for a Friday night but busy enough. Lots of colourful lighting and quite loud music... There was a MC offering gift vouchers for the alley if you could bowl whatever he was proposing. Good laugh,baba Hase,so rude,"(Translated by Google) Value for money is a total disaster. We didn't get a drinks menu. Sometimes we had to go to the bar to get any drinks at all. The cola tasted like water and the juices weren't very tasty either. My fingers were totally exhausted from the bullets. There was no toilet paper in the toilet and the dryer for the hands didn't work properly either.

(Original)
Preis- Leistungsverhältnis ist eine totale Katastrophe. Wir bekamen keine Getränke Karte. Teilweise mussten wir vor zur Bar um überhaupt was an Getränke zu erhalten. Die Cola schmeckte nach Wasser und auch die Säfte waren nicht sehr lecker. Meine Finger waren total fertig von den Kugeln. Auf den Toiletten gab ein kein Toilettenpapier und der Trockner für die Hände ging auch nicht richtig.","(Translated by Google) Could have been a nice evening, unfortunately the staff was overwhelmed that evening, wrong drinks and half forgotten.
Hygiene should also be improved, smoking and then putting ice cubes in the glass with your hand is disgusting.
The supervisor said he doesn't care if a guest has a problem when there are 400 people in the store.

(Original)
Hätte ja ein schöner Abend werden können, leider war das Personal an diesem Abend überfordert, falsche Getränke und die Hälfte vergessen.
An der Hygiene sollte auch nachgebessert werden, eine Rauchen und dann Eiswürfel mit der Hand ins Glas geben ist ekelhaft.
Der Vorgesetzte meinte, es interessiert ihn nicht wenn ein Gast eine Problem hat wenn 400 Leute im Laden sind."
Friedrichstadt-Palast,4.7,Performing arts theater,"Friedrichstraße 107, 10117 Berlin, Germany",palast.berlin,Great theater with amazing acoustics. It is amphitheatric so don t bother having a good seat. You can enjoy the show wherever your seat is. I saw a very nice musical called The One and all the dresses were made from Jean Paul Gaultier. Another must place to visit while you are in Berlin. Recommended!,"Building :
The building itself is perfect for shows, the shape offers an excellent visibility on the stage from everywhere. I was on the last rows but i could enjoy the stage normally. Compared with most french and London theatres, seats are pretty large and comfy, have more room for the legs than what i am usually used to. Ticket collection is outdoor, you first have to queue at the box office on the right of the palast outside, then queue again to enter the theatre.

Show seen “ARISE”:
Had a pleasant and entertaining night, what I appreciated the most are the acrobatics, the costumes and the scenery. The acrobatics were impressive (the athletes were better than Cirque du Soleil), they managed to create a setting with water which left everybody amazed (front rows were splashed 😂).
Only downside is half the dialogues are german, half english. As a foreigner, couldn’t understand half the conversations (same for germans who don’t understand english…). Why don’t they display English subtitles on the scene and leave all conversations in german (while leaving the songs 50% German/50% English though)?","Show watched: ARise
Show time: 65min/25min interval/ 65min

Language
Show is in a mix of English and German. But that doesn’t really matter because the acts and visual spectacle can better translate the whole story, feel and emotions.

Dance
Choreography is seamless and fantastic with only mere moments of transition giving u barely enough time to comprehend until the applauses reacts. From cabaret style to pop and aerial ballet, it was a fusion of both art and form.

Music
From rapping to Maksim like crossovers with dashes of solo and strings akin to that of Vivaldi, it was the perfect ensemble. All music are performed live and performers shown at spots and locations around the stage.

Stage
The smart use of levelling for performers, lights and depth of field with a central rotating stage was something I haven’t seen since David copper field magic acts. Stage technology used here have accentuated the story telling element regardless where u r seated.

Performers
This show celebrates diversity in all forms. From LGBT to soloist of different Colours, the director has truly incorporated what it means for us to be in an inclusive world.

Storyline (based on my own interpretation as I do not understand German)
The pratogonist is a photographer. Struggling with the loss of what to shoot, he consulted with Time to find back his inspiration. Time brought him back with his Muse, calls him to revisit his past works to induce inception. With the help of light, he found back his muse.

The review.
A must watch if anyone is in Berlin. Do remember to book tickets waaay in advance as it’s almost full every single day. Being a fervent theatre/play/musical/orchestral goer, this show truly transcends my expectations. The music is original and fits the story telling from intro to climax, the theatre costumes details is fine and does lose to broadway types plays. Ticket prices are way cheaper if u compare it to actual full fledge plays/musicals. I don’t usually recommend front row seats as they are exorbitantly priced and not worth the experience. This show however, I totally recommend it.","It's said it's good for non German speakers... No, it's not, don't waste your money if you don't understand German.
There is no plot, it's a bunch of scenes with no sense between them.","I visited this beautiful cinema during the Berlinale. I was slightly late for the screening along with a few others. We were made to wait outside until the intro was over, which I didn’t mind, but after the intro had finished, we were all walked up a few flights of stairs to a balcony level, only arriving in our seats after the cinema was completely dark, without help of a flashlight to take the seats and the film had started. There was plenty of seats free on the ground level.

During the screening of this Brazilian film which dealt with the struggle of freedom fighters and oppression under the dictatorship, the ushers hovered around the cinema like prison guards. Them walking up and down the stairs was very distracting - it was like someone going to the toilets every few moments. Afterwards I asked an usher outside and they confirmed that the ushers inside the screen are not allowed to sit during the screenings. It would be a lot more settling and a more calm experience if the ushers were just allowed to sit and observe the audience from a good vantage point. I could even see most of the audience from where I was sitting.

To add insult to injury, despite these free-roaming ushers, I saw several people in the crowd taking their phones out for even quite a while and nothing was done. Towards the end of the film, I saw people take photos of the screen.

Beautiful building, but I wouldn’t attend for a screening again. Maybe a musical concert or a talk.","If you're a contemporary performing artist, you're not going to enjoy this. The shows are meant as pure entertainment. Remember getting dragged to that dinner theatre show because someone said you liked the arts? It's like that except at least here they put money into the stage, and you aren't forced to eat a cheap and overdone steak with soggy lettuce on the side. The staff are friendly and welcoming, and there are definitely a couple of acts in the show that are great, but everything else in between is pretty boring filler, uninspiring, and generic. The show is good for little kids and highschool kids that want to seem fancy, and also great for old grandparents and your parents who keep asking you when you're going to ""go back to school and get a real job"" because your artist life wasn't the doctorate degree they were hoping for."
Victory Column,4.6,Monument,"Großer Stern, 10557 Berlin, Germany",berlin.de,"This cost 4 euros for an adult, it's a spiral staircase all the way up, too small for an elevator. That's quite a climb, they do have stopping points where you can stop and take a break but other people will be wiggling by.  What you do get up there, There's a really nice view of the whole city, it was really pretty from up there. If you're okay with the 4 euro and climbing a bunch of stairs, then it's a good deal!","A place worth visiting. There are a few reasons you should do that:
1. Great panoramic view on Berlin
2. Interesting museum indoors
3. Exercise climbing 200+ stairs

First of all, don’t cross the road, you can get there using underground passes from east and west side of the column.
I paid 3.5 EUR to enter. Only cash.

Secondly, be careful on the stairs. It has little areas after each stair case, you can get some rest if you are tired climbing and pass some people through.

I recommend visiting this place either at golden hour, after, or in the morning. Views are going to be the best during these hours.","Beautiful view and a wonderful experience. It's EUR 4, and it was surely worthy. The guy who received us there was pretty amiable - which is pretty rare in terms of Berlin. He was very polite.",Meh. And you have to pay in order to get up,Stop russia!!! Help!,Cash only.....
IGA Cable Car,4.2,Mountain cable car,"Blumberger Damm 40, 12685 Berlin, Germany",gruen-berlin.de,"Fantastic view!!!

you should visit it in spring time so you can see all the colorfull flowers.",Very nice view and comfort cars. We got a little confused because the staff is not speaking English.,Really like it,"Unfortunately, this attraction was already closed when we came there (it was 3:20pm). It took a couple of hours to get to the Cable car from Eberswalde. Not recommended.","Best place to waste your time and your money,  you have to pay for the entrance 3 euro and 4 euro for the machine if you want only to go with the machine you have to come from the back door, I could have buyed döner and watch movie at home waste of my d**n time.","Lately the service has been very bad. They close early and say “The boss said it’s time to close, and what the boss says goes…” I have a yearly ticket and when I purchased it, they were open until 17:30. Now, without any notification they have changed the hours to 10:00-17:00. Last weekend it was not running at all. If the goal is to lose all your customers and close shop, then you are well on your way to achieving it. It’s a real shame."
Sunlight Kids Yoga,5.0,Yoga studio,"10243 Berlin, Germany",sunlight-kids-yoga.com,"(Translated by Google) A great children's yoga training. Although I have already taught yoga, the details and the execution, specially tailored to the needs and abilities of kids, have greatly enriched my way of working. Thanks!

(Original)
Eine super Kinderyoga Ausbildung. Habe zwar bereits Yoga unterrichtet, aber die Einzelheiten und die Ausführung speziell auf die Bedürfnisse und Fähigkeiten von Kids ausgerichtet, haben meine Arbeitsweise super bereichert. Danke!","(Translated by Google) For children's yoga, Claudia is simply the best. with all her heart she creates richly illustrated stories for all ages that work. (I have attended children's yoga and teenage yoga training courses with her.)

(Original)
Für Kinderyoga ist Claudia ist einfach die Beste. mit ganzem Herzen kreiert sie bilderreiche Geschichten für jedes Alter, die funktionieren.( Ich habe bei ihr Kinderyoga- und Teenageryoga Fortbildungen besucht.)","(Translated by Google) Friendly, competent yoga teacher for young and old. With her fresh, warm nature, Ms. Rühle makes it really easy to find your way into the world of yoga. She is sensitive to her customers, especially children. It is a pleasure to work with her.

(Original)
Freundliche, kompetente Yogalehrerin für jung und alt. Mit ihrer frischen, herzlichen Art macht Frau Rühle es wirklich leicht, einen Einstieg in die Welt des Yoga zu finden. Sie geht einfühlsam auf ihre Kunden ein, insbesondere auf Kinder. Es ist eine Freude, mit ihr zu arbeiten.","(Translated by Google) A great children's yoga training. Although I have already taught yoga, the details and the execution, specially tailored to the needs and abilities of kids, have greatly enriched my way of working. Thanks!

(Original)
Eine super Kinderyoga Ausbildung. Habe zwar bereits Yoga unterrichtet, aber die Einzelheiten und die Ausführung speziell auf die Bedürfnisse und Fähigkeiten von Kids ausgerichtet, haben meine Arbeitsweise super bereichert. Danke!","(Translated by Google) For children's yoga, Claudia is simply the best. with all her heart she creates richly illustrated stories for all ages that work. (I have attended children's yoga and teenage yoga training courses with her.)

(Original)
Für Kinderyoga ist Claudia ist einfach die Beste. mit ganzem Herzen kreiert sie bilderreiche Geschichten für jedes Alter, die funktionieren.( Ich habe bei ihr Kinderyoga- und Teenageryoga Fortbildungen besucht.)","(Translated by Google) Friendly, competent yoga teacher for young and old. With her fresh, warm nature, Ms. Rühle makes it really easy to find your way into the world of yoga. She is sensitive to her customers, especially children. It is a pleasure to work with her.

(Original)
Freundliche, kompetente Yogalehrerin für jung und alt. Mit ihrer frischen, herzlichen Art macht Frau Rühle es wirklich leicht, einen Einstieg in die Welt des Yoga zu finden. Sie geht einfühlsam auf ihre Kunden ein, insbesondere auf Kinder. Es ist eine Freude, mit ihr zu arbeiten."
Archenhold Observatory,4.3,Observatory,"Alt-Treptow 1, 12435 Berlin, Germany",planetarium.berlin,Easy Place  to hung at FKK zone!🤤✌️,"The place is really well maintained, staff is very friendly and speak English, the toilets are very well maintained, great collection. You can visit the museum for free but for shows you need to book in advance or can get the tickets at the counter but to avoid disappointment, book in advance and via online.","Visited this place as a part of The Long Night Of Science. Observed The Sun and Jupiter in three different telescopes, watched the movie about Rosetta in the hall where Einstein gave his first public talk about General Relativity, found out about stars over Berlin in super cozy planetarium. It was also a great possibility to watch how The Great Refractor works. It is mind-blowing.
Highly recommended to visit.",They impose 2G+ and do not inform about that when you book tickets. I came from another city  with 2G and therefore failed to visit... Very disappointed and very bad organization!!!!!!,"Pink Floyd visuals are beyond bad taste...it's a shame because the place it's nice and has a lot of potential,but at the wrong hands.Very bad!","(Translated by Google) The Treptower giant telescope is no longer in use, and also no longer accessible, one could have said that, then one could have saved oneself the visit.

(Original)
Das Treptower Riesenfernrohr ist nicht mehr im Einsatz, und auch nicht mehr zugänglich, das hätte man mitteilen können, dann hätte man sich den Besuch sparen können."
Lasergame Berlin GmbH,4.7,Laser tag center,"Öffnung nur nach Buchung, Wilhelminenhofstraße 89, 12459 Berlin, Germany",spielt-lasertag.de,"We celebrated a young boy's birthday there - organized as a group event. Everyone had a great time, thanks largely to the friendly staff on hand. They are helpful and pragmatic.
The group left having had a very good time, the kids were happy.
We can recommend the ""Spaceship""!!","Went here with a big group and it was really a lot of fun! I wasn't a big fan of laser tag before but this place changed my mind about that. Everything was in clean, in good order, and the staff member on duty (Ivan) kept everything running smoothly. Had a great time here.","Great fun, interesting game modes and friendly staff! Would go again!","(Translated by Google) That was my second time laser tag, the first time on this facility... I'm very disappointed... There were a total of 22 players on the ""battlefield""... Far too many to act tactically... There you are advised not to run, you could be sure if you saw an opponent, you would be shot from behind by another... In addition, after a hit you are incapacitated for a few seconds, time in which you change your location should... Just like when there's someone on every corner?!
That really wasn't fun...
The explanations were also poor, the second game was about conquering or destroying bases... Where these are located and that you simply don't have a home base but can attack and destroy each one is lost...
The power ups are a nice idea but get lost in a game with so many players.
Also, I'm not a fan at all of the flashing vests that announce you around the corner because you can see your light...

I was at another facility the day before, there were only helmets, so only headshots... With handguns, also much better than the toy laser guns, which gave away your location directly because everyone can see the beam.

To make it short: the operator received 30 euros each for 2 hours from 22 players and I didn't have any fun because it was too crowded and I don't like the equipment etc... The playmodes aren't good either, by the way, I find that after one Time to respawn sucks, then it's better to only respawn in your own base, so you can hit an opponent and be sure that he's not waiting behind you to catch you...

Only 1 star for the reasons mentioned... Never again for me!

*Addendum because I only now saw that I was answered*

To present myself here as a fan of another system (I have been to laser tag twice in my life, and this one was the worse one for the reasons mentioned) is a bit poor and it is even more evidence of unprofessionalism to throw into the room that I diligently write reviews for the other facility or am a competitor. This is ridiculous, just looking at my account and the other reviews is easy to see. Unless you really think that I rarely rate places with the account and over the years just to strike a big blow against you now 😂
But please believe what you want.

Further on in the text, I didn't book anything, but we came to you among friends. In the end I can only evaluate what I have experienced and I have. I'm sorry if you don't like it, but that's how ratings work, an evaluator does not have a complete overview, but only an excerpt... That should also be clear to you 🙄 I can hardly give 5 stars because you also have others offers things that I haven't experienced, right? Exactly, thanks.
And my experience as an excerpt from your offer was only worth 1 star to me.

But that's not so tragic either, you have enough other positive reviews (if they aren't all from you *pumm* conspiracy theory smashed back)

Thanks for the attention!

(Original)
Das war mein zweites Mal Lasertag, dass erste mal auf dieser Anlage... Ich bin sehr enttäuscht... Es gab insgesamt 22 Spieler auf dem ""Schlachtfeld""... Viel zu viele als das man hatte taktisch vorgehen können... Da man darauf hingewiesen wird nicht zu rennen konnte man sicher sein, wenn man eine  Gegner gesehen hat, würde man schon von hinten von einem anderen abgeschossen... Dazu kommt das man nach einem Treffer einige Sekunden kampfunfähig ist,zeit in der man seine  Standort wechseln sollte... Nur wie wenn an jeder Ecke jemand steht?!
Das hat echt keinen Spaß gemacht...
Die Erklärungen waren auch dürftig, im zweiten Spiel ging es darum Basen zu erobern bzw. Zu zerstören... Wo diese sich befinden und das man einfach keine homebase hat sondern jede angreifen und zerstören kann ist untergegangen...
Die power ups sind eine nette Idee, gehen bei einem Spiel mit so vielen Teilnehmern aber unter.
Auch bin ich überhaupt kein Fan von den blinkewesten die dich bereits um die Ecke ankündigen da man dein Licht sieht...

Ich war am Vortag auf einer anderen Anlage, da gab es nur Helme, also nur headshots... Mit handfeuerwaffen, auch wesentlich besser als die Spielzeuglaserwaffen, die direkt deinen Standort verraten haben weil jeder den strahl sehen kann.

Ums kurz zu machen: der Betreiber hat für 2 Stunden von 22 Spielern je 30 Euro erhalten und ich hatte keinen Spaß weil es zu voll war und ich das Equipment etc nicht gut finde... Die playmodes übrigens auch nicht, ich finde das nach einer Zeit respawnen doof, dann lieber nur in der eigenen Basis respawnwnz, so kann man einen Gegner treffen und sicher sein das er nicht hinter dir wartet um dich zu erwischen...

Aus den genannten Gründen nur 1 Stern... Nie wieder für mich!

*Nachtrag da ich jetzt erst gesehen habe das mir geantwortet wurde*

Mich hier nun als Fan einer anderen Anlage hinzustellen (ich war 2 mal in meinem Leben beim Lasertag, und dieses hier war das schlechtere aus genannten Gründen) ist schon etwas arm und noch mehr zeugt es von Unprofessionalität in den Raum zu werfen, das ich fleissig für die andere Anlage Rezensionen schreibe oder ein Konkurrent bin. Das ist lächerlich, durch ein einfaches Ansehen meines Accounts und der anderen Bewertungen ist das simpel zu sehen. Es sei denn ihr seid echt der Meinung das ich mit dem Account selten und über Jahre hinweg Orte bewerte nur um jetzt zum großen Schlag gegen euch auszuholen 😂
Aber bitte glaubt was ihr wollt.

Weiter im Text, ich habe nichts gebucht, sondern wir sind unter Freunden zu euch gekommen. Im Endeffekt kann ich also nur das bewerten was ich erlebt habe und das habe ich auch. Wenn euch das nicht passt tut es mir leid, aber so funktionieren Bewertungen nunmal, ein Bewerter hat keinen kompletten Überblick sondern immer nur einen Ausschnitt... Auch das sollte euch eigentlich klar sein 🙄 ich kann ja wohl schlecht 5 Sterne geben weil ihr auch andere Sachen anbietet die ich aber nicht erlebt habe oder? Genau, danke.
Und mein Erlebnis als Ausschnitt von eurem Angebot war mir nur 1 Stern wert.

Aber das ist ja auch nicht so tragisch, ihr habt ja genug andere positive Bewertungen (sofern die nich alle von euch sind *pumm* Verschwörungstheorie zurückgeschmettert)

Danke für die Aufmerksamkeit!","(Translated by Google) Unfortunately, it is not clear from the offer on the website that the arena is in continuous operation and that you play with complete strangers who also come from completely different age groups. Also, no option to choose team affiliations yourself.

(Original)
Leider ist es von Angebot auf der Website nicht ersichtlich, dass die Arena im Dauerbetrieb ist und man mit völlig fremden Menschen spielt, die zudem ganz anderen Altersgruppen entspringen. Außerdem keine Möglichkeit, Teamzugehörigkeiten selbst zu wählen.","(Translated by Google) When we wanted to go, it was closed despite the opening hours in Google Maps. The whole day nobody answered the phone and a week later nobody answered my email or even called me back.

(Original)
Als wir hinwollten war trotz der gegebenen Öffnungszeiten in Google Maps geschlossen. Den ganzen Tag über ging niemand ans Telefon und auf meine Mail hat auch eine Woche später niemand geantwortet oder geschweige denn zurückgerufen."
Kollwitzplatz,4.3,Park,"Kollwitzplatz, 10405 Berlin, Germany",berlin.de,"Weekend market , lots food & snack items to try,  fresh vegetables & fruits from farmers sold here.
Lots of other items, can walk around & explore:)","On Saturday and Thursday there is market with fresh food, food truck and various pther products. The playground is really nice for infants and toddlers. Public bathroom is available.","Great park for families and other people looking for a nice place to stroll or read. There are ping pong tables as well, and aren’t usually too busy. The weekend market is my favourite thing in Berlin. There’s a really wonderful lady with an egg stand, buy some! Her eggs are amazing! The produce sellers are all very friendly and the large vendor sells jalapeños!","Such disrespect to Käthe Kollwitz. The statue is littered with garbage and graffiti, people just climb on it as if it meant nothing.  A sorry affair and a shame on the city that allows this vandalism.","(Translated by Google) Great dog spot! Due to the intensive use by Janghund owners, the meadow could be destroyed and the presence of children was pushed back. This place, like all other green spaces in Berlin, belongs to dogs and their masters.

(Original)
Toller Hundeort! Durch die intensive Nutzung durch Janghundhalter, konnte die Wiese vernichtet und die Anwesenheit von Kindern zurück gedrängt werden. Dieser Ort gehört, wie alle anderen Grünflächen in Berlin, Hunden und ihren Herrchen/Frauchen.","(Translated by Google) Schwabylon. They want to live in Berlin, but don't want Berlin on their doorstep.

(Original)
Schwabylon. Sie wollen in Berlin leben, aber Berlin nicht vor ihrer Haustür haben."
KULTI Kinder- und Jugendfreizeithaus,4.5,Recreation center,"Majakowskiring 58, 13156 Berlin, Germany",kultipankow.de,Perfect place for kids,Cool,"(Translated by Google) Cozy children's and youth center at Mayakowskiring in the old Honecker Villa. Very nice outdoor area, inside billiard and table football, board games, games room for the younger, ateliers, sports and dance room.
Varied offer for free playing and crafts (ceramics, sewing, etc) in the afternoon and also closed offers (registration required), such as Capoera, circus, dance and the week, theater workshops during the school holidays.
In the kitchen you can get for a small contribution sandwiches and ice cream.
Closed in the mornings and on the weekends.

(Original)
Gemütliches Kinder-und Jugendcentrum am Majakowskiring in der alten Honecker Villa. Sehr schöner Außenbereich, drinnen Billard und Kicker, Gesellschaftsspiele, Spielzimmer für Kleinere, Ateliers, Sport-und Tanzraum.
Vielfältiges Angebot zum freien Spielen und Basteln (Keramik, Nähen, etc) am Nachmittag und auch geschlossene Angebote (Anmeldung erforderlich), wie Capoera, Zirkus, Tanz und der Woche, Theaterworkshops in den Schulferien.
In der Küche kann man für einen geringen Beitrag Sandwiches und Eis bekommen.
Vormittags und an den Wochenenden geschlossen.","(Translated by Google) Unfriendly staff. You always have to check the receipt. Pity...

(Original)
Unfreundliches Personal. Man muss den Kassenbon immer kontollieren. Schade...","(Translated by Google) not really to recommend, youth office pankow just.
it will be here without any permission also like pictures of children
used for self-promotion.

(Original)
nicht wirklich zu empfehlen, jugendamt pankow eben.
es werden hier ohne jedwelche erlaubnis auch gerne bildaufnahmen von kindern
zur eigenwerbung benützt.",
Kicker World and Paintball World Berlin Spandau,4.1,Soccer field,"Kleine Eiswerderstraße 1, 13599 Berlin, Germany",kickerworld-berlin.de,"Excellent  professional  service and also perfect English!!!!! I cannot say more about the awesome time my son and 13 other boys had  yesterday. From the time we came inside  the spacious venue and support we had at reception, paintball and the restaurant, it was a big success. I would highly recommend this place for anyone looking for fun and professional service. My son said his 13 th birthday was the best yet!","Nice place and field for soccer. The grass is a little “high” in the size, but it’s okay",We had a lot of fun playing Arrow Tag. It's a great place and it has a great staff.,"Dont go here, super poor management that doesn't take your concern for real.
Count your shots as these guys will charge you for it but will give you 5% of that.
Complete fraud this place.",Watch out!!! Per person is 25€ but without protections otherwise if you want a wetsuit and protections you need to pay an addition of 8€,Not really sure if anyone was running the place when we went yesterday. They didn't have enough overalls just about managed to show us how to use the gun and then just left us to it. We had a big group and for the money we paid not good and nowhere to buy any food. Shame re2allt cause it could have bwn great.....
Spitfire Academy Berlin GmbH,4.9,Martial arts school,"Bülowstraße 56/Hinterhof 2.OG, 10783 Berlin, Germany",spitfire.berlin,"Great gym with a really nice, multicultural group of athletes/hobbyists and a great atmosphere overall. Instructors are friendly and approachable & make beginners feel welcome. Class taught in a mix of German & English but everyone is accommodated. Would definitely recommend.","Professional and very friendly gym in Berlin. I was welcomed warmly (as a female ""lightweight"" beginner) to join the BJJ classes with professor Gabriel Rainho. Although many people on the mats, the atmosphere was always friendly and professional. I'm looking forward to re-join on my next visit.",Best gym in Berlin! Been training here for almost 4 years and never regretted once ;),"Below average gym with hygiene issues and terrible management. Despite their copy paste review response to ""contact them directly"" multiple attmepts to do so were ignored.","(Translated by Google) So I've trained in several gyms. (Black House Miami Beach, AKA San Jose, MMA Berlin, etc.) but Spitfire was definitely my least favorite. Here is a short summary:

+ nice reception
+ a trainer was fine (boxing)
+ nice artwork on the wall
- the training mentality of many members is very aggressive:
I sparred with a member who couldn't handle the fact that I was better than him. He then freaked out and tried to hit me with all his might, it was my fault then. we previously saved in light contact.
- there was a case where a new member (female) was repeatedly teased by another member. it was up to the coach to settle the situation, but he didn't do anything. the woman understandably left the training before the end.
- one trainer was always quite aggressive: in a unit for beginners he sparred with youngsters (max. 14 years) until they were on the ground from pain, then he continued with the next one until he was also on the ground
- Much more expensive than comparable gyms
- unfriendly management, I wanted to cancel my contract but was a day late, no goodwill at all
- crowded training rooms, stuffy air
- at the grappling courses it was noticed that some members are on steroids

I've also spoken to other members, sparring is done so hard that many can't think straight afterwards. If that's how you like to train, fine with me. But anyone who wants to practice martial arts for a long time knows that this is not the right philosophy. Those were only my personal impressions, I'm sure it was better with some others, but I can't recommend anyone to train there unless you like to soften your head every time.

(Original)
Also ich habe bereits in mehreren Gyms trainiert. (Black House Miami Beach, AKA San Jose, MMA Berlin, etc.) aber Spitfire hat mir definitiv am wenigsten gefallen. Hier eine kurze Zusammenfassung:

+ nette Rezeption
+ ein Trainer war in Ordnung (Boxen)
+ schönes Artwork an der Wand
- die Trainingsmentalität bei vielen Mitgliedern ist sehr aggressiv:
Ich habe mit einem Mitglied Sparring gemacht, welcher nicht verkraftet hat, dass ich besser gewesen bin als er. Daraufhin ist er ausgerastet und hat versucht mich mit voller Kraft umzuhauen, die Schuld lag dann bei mir. wir haben zuvor im Leichtkontakt gesparrt.
- es gab einen Fall, wo ein neues Mitglied (weiblich) von einem anderen Mitglied immer wieder dumm angemacht wurde. es lag am Trainer die Situation zu schlichten, aber der hat nichts gemacht. die Frau hat das Training verständlicherweise vor Ende verlassen.
- ein Trainer war immer ziemlich aggressiv: in einer Einheit für Anfänger hat er mit Jugendlichen (max. 14 Jahre) Sparring gemacht bis sie am Boden lagen vor Schmerzen, dann hat er mit dem nächsten weiter gemacht bis dieser auch am Boden lag
- sehr viel teuerer als vergleichbare Gyms
- unfreundliches Management, ich wollte meinen Vertrag kündigen, war aber einen Tag zu spät, überhaupt keine Kulanz
- überfüllte Trainingsräume, stickige Luft
- bei den Grappling Kursen hat man gemerkt, dass einige Mitglieder auf Steroiden sind

Ich habe auch mit anderen Mitgliedern gesprochen, es wird so hart Sparring gemacht, dass viele danach nicht mehr klar denken können. Wenn Ihr gerne so trainiert, von mir aus. Aber jeder der lange Kampfsport betreiben möchte weiss, dass das nicht die richtige Philosophie ist. Das waren auch nur meine persönlichen Eindrücke, bestimmt ist es bei manchen anderen besser gewesen, aber ich kann niemanden empfehlen dort zu trainieren außer man steht darauf sich jedes mal die Birne weich zu hauen.","(Translated by Google) Very small hardly space to move

(Original)
Sehr klein kaum Platz zu bewegen"
Bright Site - Berlin Boulder Project,4.4,Rock climbing gym,"Wilhelm-Kabus-Straße 40, 10829 Berlin, Germany",no_web_site,"Is a really good place for practice climbing in Berlin-Schöneberg.

It has bathrooms with showers, recreation area or climbing walls outside and an extensive installation of walls inside as well.

I liked the experience!- 🥰","It's a big bouldering center with lots of interesting and challenging routes, it gets busy in the evenings, but there's still plenty of space to climb. Staff and climbers friendly, it has a good atmosphere. The best part is it has an outdoor part, in the warmer months that's a nice place to be. One thing to note, you might want to take cash, sometimes the card machine is not working, or doesn't accept certain cards. Lockers can be borrowed, bring your own padlock. There is a reasonable training area and showers/changing area are provided too. They sell pizza, beers, softdrinks and some snacks.",It's an amazing bouldering gym in spring and summer with their outdoor area! The atmosphere is really good here.,"As they promote cashless payment 1 star is the best they deserve.
Privacy is something this country should be promoting not fighting.","I have been time to time during the years and I never found it clean once, the materass are so dirty and the air is so dusty, the windows are constantly covered in dust. I would come back more often if they would take more care of cleaning","8/24/20 - My boyfriend just had a terrible experience with an extremely rude staff member at this gym, it completely ruined his day and now he doesn't want to return. He is an ex pro-climber and is well versed in gym etiquette. The employee was tall with short dark brown hair. There is truly no need to be an a**hole to someone because they are foreign. The climbing community is usually so welcoming, it's a shame."
Charlottenburg Palace,4.5,Castle,"Spandauer Damm 10-22, 14059 Berlin, Germany",spsg.de,"The palaces are beautiful and stunning, the architecture is amazing and also the breathtaking.

I like the fact that some of the original architecture are still in existence and well preserved here.

There are audio guides that take you through the palace in chronological order, which helps navigate the palace. Also I’ll suggest to go early so as to not rush and enjoy the journey.","Beautiful Historic architecture. A must visit place for people who love photography, and silence. The Park which is just in front (or behind) the Palace is so beautiful. There are a lot many seats to sit, and during Spring the Park is full of colourful flowers. The place is really nice, and worth visiting. Keep in mind, the Palace is quite far from the S Bahn, a bus needs to be taken to reach the Palace.","Brilliant audio tour around countless rooms, most of which are furnished. We spent many hours here so great value for money! Photography not allowed in many of the rooms in the main Palace but more relaxed in exhibitions and other areas.
We bought tickets that included entry to 3 separate areas including old and new Palace and pavilion.
Entry to the garden is free.",Unfriendly and unhelpful staff. Not respectful. Many sections are closed. Not worth at all to go all the way.,"We paid €17 per person to get acces to everything. Well ""everything""...they didn't mention the upstairs area of the old wing was being re-decorated and was closed, the orangerie was closed due construction works, the theater, the mausoleum and pavilions were ALL closed due covid.

If you're gonna charge €17 per person for the full experience, people expect a full experience. I get things need work and covid is still present but it's not fair to charge full price when HALF OF THE SITE IS CLOSED FOR VISITATION!!!! Really upset about this! The website reads ""...is open"". False information!","it says that the closing time is 16.30, at 16.10 you have sent out all the guests
congratulations for the hospitality!"
